"id","name","clientId","alternativeClientId","deviceTypeId"
"n1i7cx2ilz2","device-73b8ed96-55d7-40e5-92f6-62fee6f83511","OPUMA4KUAZI2HWP6DV23WYZ","HY19UP34YHPOO5J6HYNP5LY","63ow1jqpp7c"
"6n7m11dszrr","device-f1cc039e-6f66-4320-a8be-86e84c9fd514","F6271UKZG57VXNHHLX3RVVC","FM0IK3YTUPXYN6T0TEUE15K","63ow1jqpp7c"
"8jmsp3cuffj","device-c2a1cdc5-732f-4855-a0d9-73b1dec8f6b3","431E2BKWBC4VUUT6VE0RK83","SVD0O7OUFO8XKDGX111KFN7","63ow1jqpp7c"
"k46tzocdzta","device-61ecbf33-0c37-4be3-9a06-8d5e6f0a3fd4","6RM5S8Z360O23C2XEKJCMB8","99ICF8ARWJCB3OIR5PP1I0C","63ow1jqpp7c"
"az8lnxdymeu","device-81c945cb-032a-49f9-b2a7-46b2c2a5b532","QKIJ20G2G902OMLAY5CH7MQ","IGLALTAUQX5IYY51NPM2T4X","63ow1jqpp7c"
"ivs8p5kf231","device-f49f1c4e-2575-4512-bbe8-9990db339634","096TXV2NAOFEFL4RCJYEMLL","9V472NK6KJCNJ8XU79U1VPI","63ow1jqpp7c"
"bc9gfo1tsh1","device-3733c594-a2f9-495c-a2fc-642cd23cbcf1","7Q2Q1Y3H5W3WV55FKGTWSET","RQBMOML5BKNRGKVXPZ38T3A","63ow1jqpp7c"
"px24w6jheto","device-3745ece5-38c4-49bf-ae24-dc19e4fe8076","HLNLRI5KHAH8WJ5RA5SPS8N","UUUCLIYD485IHFNF4JK9K9T","63ow1jqpp7c"
"3t0ax55fo33","device-093a4be8-5fb0-428d-8dd9-ca0c57dc733f","ONODLPKWERVVFUCNQIMYRJW","FDVXWMJG3BNPY760AI0L75K","63ow1jqpp7c"
"4ys9h54vub3","device-88acdcb6-d37d-4697-9b81-94cea97bc19e","SZ1VVRHNQ0PXMO9GLCZGIYH","6VH6DCKU3IZ3XM12VXATAVZ","63ow1jqpp7c"
