"id","name","clientId","alternativeClientId","deviceTypeId"
"dkqzewwuttl","device-691ccb1b-81b1-422a-9119-72313efb94f1","LZ9NRGYEXEYEGXKKUTXI1RV","5TE08X6UWHK4S0UYJ6X3V1K","63ow1jqpp7c"
"2jlvfr83cdu","device-759def61-9e01-4d59-9434-a54d68e105c5","XXGDJLX1K5FPPA833AHMJRP","0G7JBEW2963MS20S35GM0KW","63ow1jqpp7c"
"pnn62ah5ww8","device-0b95e57e-88d4-4aac-99ae-a2cee314a636","A0VRQIWOYZ6OPLK9IHUEUSR","ARIO67K26RH9CB9ET6GY9J4","63ow1jqpp7c"
"kudjvwwd6yz","device-05bb3a4c-bed5-4f79-82db-ffa3ba55f7b5","WN1PUK8YKMJVKHQJNA6V87C","MWE67C0OU5I2A9HUX5KXB3T","63ow1jqpp7c"
"k9guznu2637","device-6784619e-1743-4a5e-b47b-78e999ba4e7b","HJJLDN8T8MHRBK5M7ATTOGN","N81NBJZVNUJYOIM4KVHF0TV","63ow1jqpp7c"
"hs5mgs9m9sf","device-8dfd1abe-2f19-44d1-80cf-daaa4eae6e01","BOFHC2JETAAL7UFPI99APZV","0LS77DZ1BW39W4DNZNAN57D","63ow1jqpp7c"
"07g97o858kj","device-04867082-fe80-4a21-b04a-fec66541a38d","55068III6JPK2521JHFK0HF","DGIBOQP70PBNY0SEJLBURLM","63ow1jqpp7c"
"0dfamm2z5vl","device-52554fc8-4b65-4a0c-b056-6e6d18f7ae5b","RNLQS1KK8XWSOX3OL64YRMK","HM5QXWHDRMOAJY9Q2TP0E8V","63ow1jqpp7c"
"er4mi0b5kkq","device-a01d31ce-4097-4e38-b713-9209749072fb","7M94FZ6RWWL5CD5N4USI8FY","40IX9YG1M1QP2PDVYLKL3KT","63ow1jqpp7c"
"rli67rvv45o","device-5b4f70c0-14fc-4e4c-af9a-2f5b3ef8aad3","64LTMTN0HW6FJNBEP5PQKB1","DPHG6OF6U320O8CLV1CZL2W","63ow1jqpp7c"
"oz1y0bma2zd","device-a2c719d4-d11e-4d02-acc0-b3de8766083f","W8BCCLBZS1SWV5D9XP6EQA7","Z5XIPAU3IM7O43FMON48BBI","63ow1jqpp7c"
"3go6amcaohh","device-1178e853-77dc-44e0-b45c-1adf7cff88b9","E06LB6P3U3R9X1716S5GQCL","WJC2F9XXSO7TAR0PTM6QZFL","63ow1jqpp7c"
"lroegqegtg8","device-b9f41c9e-aa54-4fab-a3f2-b14c4e1250b9","Y2MN0QU7TSDUNOJTEU8UVQ1","44FCF7J9ACV1WCAGL1I8KYJ","63ow1jqpp7c"
"xcdfyd20xsh","device-0b5ed289-aae9-40e0-8e3c-55b0fada4fdf","48PCICSRFU23B1I1UZF3P1C","19K91ZIL0VON598ZG502S33","63ow1jqpp7c"
"9cvxxqfuvuw","device-4f434151-74b3-46ca-b8b5-6542db2051fb","YO2HLIOIR6FY5U3UD7A1DCM","CV1VDQ9SN1XAZJ2AW0RP5UZ","63ow1jqpp7c"
"yzxg6lbzuhd","device-d49e6c4a-739a-42c8-966b-78695fc15af7","6PJFWUHFZINFNXIHHA3BHOR","7ALNNIZ4AP92VJ6YCNKTAFK","63ow1jqpp7c"
"pp5fzaaqaov","device-08b75c0c-9fab-4502-8b06-d4ddbb80b869","FA04148EMYA9LKA5XL3ZC4A","4KYO5WHE5BDA9BECGXF65Q2","63ow1jqpp7c"
"brnxms2cria","device-0e855456-d268-4f72-a649-b3d61a87a402","02GMOKTPRHUYRCI2ARI1S1Y","BAGB2TLW3AW0XVJRH8CQXGO","63ow1jqpp7c"
"gmcgibnu9w5","device-0eec42e7-d43d-4cb6-b44f-894104a7d492","7BM38UFMW4LD1TZR6G8MEMP","KLQYDEK03VJC2RXTNHXV8UA","63ow1jqpp7c"
"yhn19zu361q","device-87d1bcd2-7393-41ba-a590-db65ce4ad521","9UWLQ6ZUDI926WG3A3HPF2L","22DGXTDAFZVEHP53UYJKXEA","63ow1jqpp7c"
"o8z6qog0v9u","device-aff05b94-b832-44e7-bd48-1562a6ee308a","MUYX0PG8PYBKYWNA85EM7HC","J36GE4EFS5LN2J445NDGHN4","63ow1jqpp7c"
"6ix86knu48x","device-58a3c129-198c-4040-b883-2ece9b521fd7","IKGOO8O7YI8X5PDDS2TGQOY","OHCNQPLVOJFLRYCSGO1Z09C","63ow1jqpp7c"
"nis9e5m7ckm","device-48829d05-6e74-466c-ad89-53552c51f463","62XISMMJOTI1DBHK6T8HV9A","9HS3HGZOTTBZ8W0FN4FZUF4","63ow1jqpp7c"
"xd23j0uka8q","device-8d37c52b-77ab-4715-a046-f5535ec2b399","TY77231731WTG7E5P25PTPH","EEV2VR7D3F5WY5IEFEI2SSM","63ow1jqpp7c"
"ccgc6ujc79c","device-e55ab96f-851a-4a91-9ea4-0b035360c6fd","XQ6H2RY11I1Q8QJ45K09DQ9","AKNHJKXX0K7M86K2CZBJ5IZ","63ow1jqpp7c"
"19fz1qs22q2","device-1079ced6-d51e-4fe7-96c7-78220425cc11","1KAG9MUGWOZWBDQ7V876CY0","38FSRW2OFCVORI3XXAMHE4D","63ow1jqpp7c"
"vu1zy2xb24i","device-5cf7de30-105d-4f92-8d1f-b9a6e8158479","9335XK73VKUOI50CN78FYYQ","2I8PFPXHIXTUT6234V52VV6","63ow1jqpp7c"
"v11tb35d2ha","device-4d8ed8a0-0f10-4600-a339-1a8d77294143","2RC7WSN6Y9LCPA7MKOA25AU","OQ4R7NVRVVOB29327F5SNG8","63ow1jqpp7c"
"sjk3lkc1i3k","device-0e659ffd-4699-4a65-9b19-ba8d48999245","87AAUAF1KH1BVJ2YP6JGCJ1","CLJ5HOLI21UNAJCJ6BD9Q4U","63ow1jqpp7c"
"qqnurr9ghtn","device-e04c1ae4-b8cf-4c82-8598-3072628c61ef","T0HUT0R0F1IO2FBH2F4IHGT","9IT93X16JQCDAAPJL7I6WYG","63ow1jqpp7c"
"cs8d1ykjpc5","device-2402ff3c-ca9c-4ab6-ae68-4a9f3c4d5ce7","VNO1DSFL4FMP8J87RHV5ZK1","DL9S3WWZG0WPFW84NM0LNRU","63ow1jqpp7c"
"aclctyn964t","device-a9cc6945-cc7f-43f1-9621-809f244b6685","VGP0FAEWH0RQKPXZXKXPE2S","JRDO2Z1IK1TTCL7839ZNE4U","63ow1jqpp7c"
"hvlldcopll8","device-1b43f97b-68cd-4e79-b317-ff17b6f60e76","6DIPDXZ1QGLXR0W0DZYAN4F","EBH0FLGFGCA14IDBGK00LSU","63ow1jqpp7c"
"fnegrxeppj7","device-eaf05a75-b8fd-40a7-958b-9abc7c3bca57","11N8RTRSX3R8B0Y3HZCG9PO","ND4LCJJMDE60IRFN6IF4AR8","63ow1jqpp7c"
"zykj1iz2pjj","device-47ec8740-6e14-4b35-9953-94b239bf6c06","SZQBJ4WUJ7RMDEZKEY4NY4A","C6PJ7FA6D5FSPFN04DBEUWS","63ow1jqpp7c"
"tn7hwxw8nm4","device-4e0ddc4e-e1dc-4e9e-87c3-c3f974bfcc36","ZBUATGX5GQRGC704HV8AM5Q","EJ853K6564AJMDE9MMX5FWX","63ow1jqpp7c"
"lz44wi4blxd","device-eeed1227-233d-4001-8b92-a8d2b313de0e","L3709B6RYX15RB0ITCKA52O","Z04LT0QMO170FJMLNGKN22R","63ow1jqpp7c"
"p5pogzmcd2w","device-c8663416-44b3-4772-b64e-4cdfc436f51b","XKA2J19FC0R58ENR99D06JI","PKWJ0N06GT953Q347F2JMKC","63ow1jqpp7c"
"v27934e96vf","device-7b1624d9-e452-4a35-8fb2-26db1218ba44","W1ZB2RXNQXU064E9R8WVA1H","LQE4TXKTVB6JNIHRJUSGDQL","63ow1jqpp7c"
"bo1jovtp3e8","device-16b254c6-b2e1-4f58-9510-b0e96195c0a2","DEGYM8QFJNHOTRECZ9FRYLN","EWO9FN5ABUQUAM9651JXJIZ","63ow1jqpp7c"
