id,name,clientId,alternativeClientId,deviceTypeId
2edtrzqtxkg,doorSensor_3,1A9ZTMF3ROT984X9O58AQB7,ZXSPJSMAK8H8KA2DI0CRLHZ,c68apbaqgkb
hm19peul2p8,doorSensor_6,NXG7I6XYAW452I0G3N3K09Q,69P9IF1H21ZM39L1O6EBG4R,c68apbaqgkb
lf7mdn3d8ok,doorSensor_4,8BLHWZZ5MA06BBHVDGJOWBN,FYMP89QMSRRQSY0NT68FK9B,c68apbaqgkb
uci735gwfsx,doorSensor_2,OPC3I9TALQVC0IFDWQAM8S9,FKV3529482M60PHZ0VOBUTX,c68apbaqgkb
v02t7suvxft,doorSensor_1,AO1BD05HBQXX6GMYUB08BU1,7ETYIZH0J6XVNEUMQBCZYV2,c68apbaqgkb
zqc651ecy4j,doorSensor_7,V9JV0VULI1OLB1OBCYUH6DA,VJBWRWLIT2XQ530PQ2XWY32,c68apbaqgkb
zygln66ptgo,doorSensor_5,LCS8V4WY8EKFRNAHTROVWZ4,23MLIHD3UZZ4F4S2DEXD1W0,c68apbaqgkb
5owcxyzob01,occupancySensor_3,JXUZCV7RKYS2PC323X6YI75,4I0II21YJ7K5AVYQNN7UW5H,c7dj94y7hf1
wf61ajs1rtx,occupancySensor_2,6L4JBN2AXFRUUD4QU9AVBOV,YPALXQ9JX58Z4FHC22AFHXN,c7dj94y7hf1
x3lf6zf4pcg,occupancySensor_4,NAQ04OU9JEORWKHBF6P090I,3MIGYSEQQ4MNC0Y6Y29I6WY,c7dj94y7hf1
x53wuwrl4ya,occupancySensor_1,TOGHBJEQZTKQ6MCG7Q1ZYPS,FIJ4ONUHTEZG7HC858JZ1D0,c7dj94y7hf1
0kh060avhcy,relay-monitor-13,75F9CDG6HICDFZ0Q89GX1KB,5LAPI5IRWLI653EHKK5K9TR,953mtdlosq0
5ojud853rxp,relay-monitor-2,2MWAI7N1B1N8WFWOO7680K8,C1TNM3QU7VRQCP0CSNIM2EQ,953mtdlosq0
9fjmjln1zk4,relay-monitor-7,N4TZZ7S4R9HNWA8D1W38T6D,9V5LDAWIB84SWMT5Q447COD,953mtdlosq0
aix0wcx1abg,relay-monitor-9,KCNRWHV8WAPC96PJXVSH4KS,GHCW6I1DEGFXGQI69KMUAOH,953mtdlosq0
i9o2l0ui9k7,relay-monitor-8,LLWWGOM87QXOYU3QUJ81R4N,3T46RXB1H44Z91EOD21VL90,953mtdlosq0
jdruz9xkhvb,relay-monitor-10,PHGZ6CTEI2S10368VTJWC9I,Q8YVTFOQ8WR4CYA5JILM2KX,953mtdlosq0
kmfyz04foae,relay-monitor-12,ZD52TFSTAG5M5Z73ED2U21G,OSJIF7ODMBQ7BMRY1P8NMJQ,953mtdlosq0
mmp7c913zbo,relay-monitor-5,CWJWETFZVEILAX0V25S639X,D85ASE5NDUNOCD9TP2QCM1V,953mtdlosq0
mvsl3xtaiha,relay-monitor-3,OTS0FO7IDHTRWM1V4E0Y67Y,JDWEXC0CCLXAO8CPKI05ZG6,953mtdlosq0
n4cvzlye1sj,relay-monitor-1,C15MRRXCVJMXCN8AABDGSGB,00MTYMI17KV9H1ORUEDP40R,953mtdlosq0
n67x28xrr23,relay-monitor-6,HYJRF3D7LH3GDOKLDVE5N3V,FQ8MR8MP0KQ52BY8G3J56DT,953mtdlosq0
ufmuwfxtfko,relay-monitor-11,31JFNJIZJ26PFR5AI18DXKM,2PTQSCQDTLMJLINWVLX2IY3,953mtdlosq0
z0ygov370uw,relay-monitor-4,Y7X9A5QEPEOJB6J5AMBX967,RI5IBXIK91M5KLV2VVHSQ4H,953mtdlosq0
