id,name,clientId,alternativeClientId,deviceTypeId
c3o6p83j94q,termo2,YGJFBD190DRE0QEVD8TQGK2,TCLO1JOOWOUDCR0I90Q88N2,3c3ij23sysa
mt8k63i521t,tearmo3,8VMAOZK87FAI6NOHR51NHPZ,NSGI4092B5M29XGR6OA69V3,3c3ij23sysa
0kh060avhcy,relay-monitor-13,75F9CDG6HICDFZ0Q89GX1KB,5LAPI5IRWLI653EHKK5K9TR,953mtdlosq0
5ojud853rxp,relay-monitor-2,2MWAI7N1B1N8WFWOO7680K8,C1TNM3QU7VRQCP0CSNIM2EQ,953mtdlosq0
2edtrzqtxkg,doorSensor_3,1A9ZTMF3ROT984X9O58AQB7,ZXSPJSMAK8H8KA2DI0CRLHZ,c68apbaqgkb
hm19peul2p8,doorSensor_6,NXG7I6XYAW452I0G3N3K09Q,69P9IF1H21ZM39L1O6EBG4R,c68apbaqgkb
v02t7suvxft,doorSensor_1,AO1BD05HBQXX6GMYUB08BU1,7ETYIZH0J6XVNEUMQBCZYV2,c68apbaqgkb
zqc651ecy4j,doorSensor_7,V9JV0VULI1OLB1OBCYUH6DA,VJBWRWLIT2XQ530PQ2XWY32,c68apbaqgkb
zygln66ptgo,doorSensor_5,LCS8V4WY8EKFRNAHTROVWZ4,23MLIHD3UZZ4F4S2DEXD1W0,c68apbaqgkb
5owcxyzob01,occupancySensor_3,JXUZCV7RKYS2PC323X6YI75,4I0II21YJ7K5AVYQNN7UW5H,c7dj94y7hf1
wf61ajs1rtx,occupancySensor_2,6L4JBN2AXFRUUD4QU9AVBOV,YPALXQ9JX58Z4FHC22AFHXN,c7dj94y7hf1
2diyncvv6da,A-C_feedback_2,A04M59JTD5UAP0FCZ6GMC3E,JDKZ068EA9BR0PTE646AIPB,iw0bp1a8fvv
eu8c76u0qe8,A-C_feedback_3,0CLLZ9PXYO3M955FM7UU7UX,ZYJ27ZDHZJ7S037EXSFQ64J,iw0bp1a8fvv
jdajmcagcch,airQuality-1,QP2OWEE39B3AMTPI1VPTVF7,4KAIHRLMVYBZPMJSSZX9UUD,lmoukuce122
6lkvwg4zkfa,powerMeter,ATM7P2II91VQ87JW51LI9TW,X2AVTPHRJ24PG4UQKUC078A,mxne7wviiid
vaz4b1j9kdf,1kontorbargh,52X2CJ0OPZY2AP16R4FDUMF,T57TRA0DTGEQ43KRJTVD7EO,mxne7wviiid
6eox3v3wyc2,1ups,JMKHJWBFQTR9CL0198IIMDF,YRDOWZY3DWSI608D5F1Y862,om1562ilr4k
51vuvn349la,kerkerhvazeat1,ZEIR4WFSH5R15BYHEZGKXIH,YGVQGVR1I6T0QOJB39X3XOQ,ulf2obizksn
5f2o8h2hmk1,kerkerhvazeat10,EYHFQ7GXF9FPBA8BGYE7WCX,2QUN4IJJI45EDHGKEVVOMNZ,ulf2obizksn
